our_string	ourW	ourW_md	ourW_data	their_string	theirW	binding	comparison_res_rel	our_half_ulp_rel	their_file
8.9953997171434881661e-6	20	16	20	0.00000899539971714261894416139162154784750309823313	45	OURS	5.0e-20	5.0e-20	data/code/letter149_family_c_extra_legs_result.json
71732.91590934775	16	16	0	71732.91590934774935380306650881119600911	40	OURS	5.0e-16	5.0e-16	data/T2h_certified_identity_gate.py
76.424765383979369271	20	0	20	76.424765383979369270504790809167491469303968	44	OURS	5.0e-20	5.0e-20	data/code/m3_L158_survivor_pilot_result.json
71732.901207872357	17	17	0	71732.90120787235703062711009473064833167	40	OURS	5.0e-17	5.0e-17	data/T2h_certified_identity_gate.py
7005.081715423783651475	22	22	0	7005.0817154237838622066192328929901123046875	44	OURS	5.0e-22	5.0e-22	data/T2g_kappa5_coefficients.json
45.6661120810410796237193	24	24	24	45.6661120810410796237192974574171609121662562	45	OURS	5.0e-24	5.0e-24	data/code/m3_L158_survivor_pilot_result.json
0.00001113546655651850113775279	25	16	25	0.0000111354665565193418810780889944333451881004937	45	OURS	5.0e-25	5.0e-25	data/code/m3_L156_cycle25_S2_result.json
0.00001176120692748531456730253	25	20	25	0.0000117612069274853103473723491560696458387772849	45	OURS	5.0e-25	5.0e-25	data/code/m3_L165_M8_result.json
0.00001916056298637075947523488	25	20	25	0.0000191605629863707636208915284570654875860231197	45	OURS	5.0e-25	5.0e-25	data/code/m3_L156_cycle25_S2_result.json
0.00001965139368560252733694165	25	16	25	0.0000196513936856025255337372751305992225333928553	45	OURS	5.0e-25	5.0e-25	data/code/m3_L156_cycle25_S2_result.json
0.00002000474686569862097496478	25	20	25	0.0000200047468656986077882400151162768222512796368	45	OURS	5.0e-25	5.0e-25	data/code/m3_L156_cycle25_S2_result.json
0.00002062641793975136104137331	25	20	25	0.0000206264179397513409953560292698027786257956008	45	OURS	5.0e-25	5.0e-25	data/code/m3_L156_cycle25_S2_result.json
0.256170097455405576118737157867	30	30	0	0.25617009745540557611873715786696814590941252986638	50	OURS	5.0e-30	5.0e-30	data/T2h_certified_identity_gated.json
35.26061987328243047394007	25	25	25	35.2606198732824304739400662223901181551091565	45	OURS	5.0e-25	5.0e-25	data/code/m3_L158_survivor_pilot_result.json
1.88167792886e-23	12	0	12	18.81677928862535992340864277124	31	OURS	5.0e-12	5.0e-12	machine1-L176-runner-erratum-v1-reversion-defect-v2-filed.md
